10000 15 0.2 100
42 -67.272728 -21.818182 -24.909090 -72.909088
43 -83.818184 -55.909092 -16.090910 -75.818184
44 -56.000000 -54.636364 -85.363640 -91.000000
45 -95.181816 -54.363636 -63.636364 -59.090908
46 -36.727272 -45.909092 -79.909088 -45.727272
47 -2.181818 -87.363640 -100.000000 -18.181818
48 -10.636364 -51.090908 -40.636364 -21.454546
49 -43.636364 -49.181820 -41.272728 -97.090912
50 -71.000000 -66.181816 -56.090908 -41.000000
51 -8.272727 -72.181816 -16.818182 -64.181816
52 -26.818182 -88.363640 -41.363636 -8.181818
53 -42.636364 -91.181816 -67.272728 -79.363640
54 -23.181818 -33.363636 -11.272727 -25.363636
55 -6.909091 -97.363640 -29.727272 -17.454546
56 -34.636364 -70.363640 -25.090910 -64.363640
57 -19.545454 -52.545456 -61.454544 -90.545456
58 -18.636364 -3.727273 -17.636364 -13.090909
59 -75.909088 -34.454544 -77.272728 -88.909088
60 -8.909091 -4.727273 -83.272728 -37.727272
61 -95.909088 -50.545456 -17.090910 -19.090910
62 -70.000000 -14.454545 -30.636364 -76.909088
63 -11.818182 -60.272728 -94.363640 -32.636364
64 -30.636364 -5.636364 -97.000000 -36.272728
65 -58.090908 -58.363636 -13.000000 -62.909092
66 -48.272728 -30.636364 -76.000000 -24.090910
67 -51.181820 -39.363636 -99.181816 -60.090908
68 -44.090908 -68.545456 -97.818184 -26.181818
69 -19.090910 -1.090909 -45.181820 -89.090912
70 -1.727273 -62.000000 -52.090908 -99.727272
71 -22.272728 -32.636364 -32.272728 -39.000000
72 -38.181820 -29.272728 -75.272728 -96.272728
73 -73.818184 -74.454544 -59.181820 -22.000000
74 -5.000000 -35.181820 -32.272728 -42.363636
75 -60.727272 -17.636364 -2.454545 -4.818182
76 -86.181816 -86.454544 -30.909090 -91.363640
77 -73.727272 -62.272728 -66.636360 -75.363640
78 -24.272728 -18.727272 -75.090912 -46.454544
79 -51.272728 -93.545456 -71.636360 -89.454544
80 -22.727272 -46.909092 -71.909088 -96.545456
81 -21.363636 -31.090910 -4.727273 -12.545455
82 -52.454544 -37.000000 -54.909092 -13.090909
83 -54.545456 -43.545456 -4.090909 -26.909090
84 -16.181818 -35.000000 -18.272728 -89.818184
85 -83.454544 -84.818184 -51.363636 -7.636364
86 -3.545455 -12.636364 -40.272728 -41.000000
87 -6.090909 -98.090912 -30.454546 -28.818182
88 -45.000000 -2.363636 -11.545455 -52.545456
89 -19.636364 -2.363636 -51.181820 -58.181820
90 -39.363636 -92.272728 -57.454544 -80.090912
91 -35.727272 -47.727272 -93.090912 -51.909092
92 -82.636360 -11.363636 -27.909090 -52.272728
93 -82.363640 -79.272728 -46.090908 -85.818184
94 -91.818184 -86.363640 -13.000000 -84.090912
95 -84.454544 -43.363636 -99.090912 -15.636364
96 -31.909090 -96.818184 -54.272728 -37.636364
97 -99.181816 -91.636360 -82.000000 -24.636364
98 -83.909088 -25.636364 -90.909088 -5.818182
99 -73.363640 -84.000000 -43.818180 -42.181820
100 -81.454544 -71.727272 -94.363640 -63.818180
101 -37.090908 -40.454544 -35.818180 -15.090909
102 -12.909091 -48.727272 -99.181816 -97.363640
103 -92.090912 -98.272728 -99.090912 -10.181818
104 -95.090912 -39.545456 -34.000000 -80.363640
105 -17.363636 -16.000000 -5.000000 -1.272727
106 -41.636364 -95.909088 -93.181816 -14.909091
107 -66.000000 -37.000000 -57.090908 -47.454544
108 -8.727273 -37.636364 -11.272727 -32.000000
109 -78.000000 -47.000000 -47.090908 -90.909088
110 -95.727272 -46.272728 -74.454544 -74.000000
111 -30.727272 -59.727272 -70.363640 -11.909091
112 -85.454544 -4.272727 -92.272728 -2.818182
113 -20.272728 -83.454544 -90.181816 -48.000000
114 -65.545456 -83.363640 -49.090908 -31.545454
115 -20.363636 -92.363640 -65.181816 -15.272727
116 -29.909090 -76.363640 -47.181820 -94.090912
117 -23.363636 -94.272728 -71.181816 -5.272727
118 -26.636364 -31.818182 -79.272728 -43.545456
119 -91.454544 -49.636364 -55.454544 -63.090908
120 -40.090908 -33.909092 -65.818184 -46.454544
121 -3.545455 -56.000000 -94.454544 -69.000000
122 -39.363636 -29.727272 -86.727272 -59.727272
123 -22.090910 -51.818180 -61.181820 -38.181820
124 -28.181818 -8.363636 -18.454546 -37.727272
125 -88.727272 -89.636360 -29.181818 -1.545455
126 -21.363636 -94.636360 -45.090908 -99.000000
127 -30.454546 -86.636360 -62.090908 -70.454544
128 -6.727273 -14.090909 -16.909090 -10.181818
129 -70.090912 -97.545456 -65.363640 -95.636360
130 -27.272728 -52.090908 -41.545456 -35.545456
131 -3.909091 -2.636364 -59.818180 -18.272728
132 -97.181816 -78.272728 -42.181820 -72.090912
133 -54.000000 -71.363640 -73.636360 -61.545456
134 -66.000000 -4.818182 -46.727272 -96.363640
135 -77.636360 -8.818182 -66.818184 -70.545456
136 -22.818182 -69.909088 -80.727272 -79.090912
137 -67.454544 -32.272728 -74.636360 -80.909088
138 -84.272728 -16.181818 -16.454546 -74.363640
139 -18.818182 -62.454544 -92.545456 -2.090909
140 -26.818182 -34.727272 -74.181816 -67.000000
141 -6.000000 -47.727272 -28.545454 -58.181820
142 -38.727272 -75.272728 -54.545456 -2.545455
143 -70.272728 -7.545455 -73.090912 -79.272728
144 -77.454544 -39.909092 -58.272728 -31.090910
145 -72.181816 -19.090910 -12.000000 -42.636364
146 -35.272728 -14.545455 -16.909090 -40.181820
147 -77.000000 -9.454545 -42.272728 -90.000000
148 -30.363636 -16.454546 -57.000000 -22.545454
149 -50.363636 -71.727272 -66.818184 -75.272728
150 -47.000000 -21.363636 -77.818184 -3.363636
151 -15.000000 -50.818180 -82.636360 -92.454544
152 -76.909088 -27.090910 -23.454546 -49.090908
153 -46.181820 -35.454544 -91.636360 -67.545456
154 -36.181820 -8.545455 -7.727273 -13.090909
155 -4.181818 -50.000000 -89.272728 -20.727272
156 -52.636364 -46.181820 -29.363636 -2.909091
157 -17.909090 -96.181816 -78.181816 -51.000000
158 -3.727273 -55.909092 -54.363636 -18.727272
159 -92.909088 -23.181818 -11.090909 -69.818184
160 -36.363636 -20.727272 -18.909090 -82.545456
161 -42.363636 -96.727272 -50.090908 -78.454544
162 -91.454544 -44.000000 -77.727272 -95.636360
163 -94.000000 -67.000000 -2.454545 -46.545456
164 -13.181818 -31.818182 -35.636364 -17.181818
165 -28.000000 -13.818182 -68.181816 -31.727272
166 -55.909092 -8.727273 -36.545456 -48.818180
167 -18.090910 -47.636364 -4.818182 -54.454544
168 -54.545456 -9.818182 -23.090910 -83.090912
169 -6.545455 -59.363636 -61.545456 -84.090912
170 -3.272727 -39.272728 -65.909088 -83.454544
171 -92.363640 -68.363640 -16.181818 -91.727272
172 -86.363640 -51.818180 -8.909091 -0.545455
173 -51.727272 -63.272728 -18.363636 -7.636364
174 -72.000000 -54.909092 -42.545456 -76.181816
175 -88.727272 -33.545456 -30.636364 -43.272728
176 -43.363636 -39.909092 -26.363636 -36.000000
177 -99.181816 -74.000000 -20.090910 -88.636360
178 -99.454544 -86.000000 -58.272728 -91.818184
179 -40.454544 -74.363640 -83.454544 -26.818182
180 -12.363636 -78.545456 -27.272728 -50.272728
181 -41.727272 -31.818182 -44.000000 -99.909088
182 -86.727272 -86.545456 -76.090912 -75.454544
183 -6.272727 -92.818184 -4.909091 -49.545456
184 -18.909090 -17.454546 -71.727272 -4.272727
185 -91.454544 -78.000000 -92.909088 -77.000000
186 -50.181820 -37.272728 -68.818184 -90.636360
187 -11.636364 -38.454544 -3.545455 -10.181818
188 -16.909090 -17.000000 -60.363636 -44.818180
189 -48.818180 -4.363636 -30.909090 -21.727272
190 -77.090912 -93.090912 -97.181816 -83.363640
191 -85.909088 -88.272728 -19.090910 -91.000000
192 -5.727273 -77.000000 -95.181816 -83.272728
193 -55.000000 -74.272728 -60.272728 -5.090909
194 -11.545455 -29.090910 -81.909088 -9.363636
195 -53.636364 -71.636360 -19.454546 -56.727272
196 -74.818184 -79.818184 -1.545455 -9.818182
197 -70.363640 -32.454544 -31.545454 -47.454544
198 -25.545454 -14.909091 -17.000000 -97.636360
199 -3.181818 -36.000000 -88.545456 -8.818182
200 -13.000000 -69.909088 -92.090912 -54.090908
201 -44.181820 -52.363636 -45.363636 -41.818180
202 -67.636360 -13.454545 -51.181820 -21.272728
203 -85.000000 -70.636360 -78.000000 -59.818180
204 -36.636364 -65.727272 -69.545456 -7.000000
205 -98.090912 -87.272728 -40.636364 -9.818182
206 -2.090909 -57.545456 -7.363636 -5.272727
207 -79.727272 -82.090912 -0.272727 -92.727272
208 -52.000000 -92.363640 -33.000000 -82.363640
209 -30.909090 -78.363640 -10.363636 -98.454544
210 -91.727272 -61.454544 -5.909091 -62.909092
211 -18.272728 -70.000000 -8.909091 -41.000000
212 -35.727272 -64.636360 -34.181820 -20.000000
213 -51.818180 -74.727272 -29.727272 -53.909092
214 -18.454546 -37.090908 -45.363636 -98.181816
215 -5.363636 -45.545456 -77.090912 -43.545456
216 -24.090910 -10.000000 -25.909090 -54.909092
217 -74.545456 -22.363636 -39.545456 -52.454544
218 -83.818184 -45.454544 -15.363636 -88.272728
219 -1.636364 -24.181818 -29.272728 -37.272728
220 -75.000000 -63.363636 -57.272728 -26.818182
221 -24.272728 -87.000000 -66.909088 -42.727272
222 -10.272727 -12.181818 -27.090910 -1.818182
223 -43.909092 -4.181818 -45.363636 -68.000000
224 -0.363636 -57.363636 -22.909090 -74.818184
225 -79.727272 -48.636364 -27.272728 -49.727272
226 -80.181816 -28.727272 -38.000000 -81.818184
227 -39.090908 -67.181816 -19.090910 -14.090909
228 -16.727272 -62.454544 -27.000000 -27.181818
229 -35.636364 -93.909088 -56.090908 -32.000000
230 -92.272728 -83.181816 -33.818180 -36.181820
231 -73.545456 -65.272728 -90.272728 -60.000000
232 -22.636364 -99.363640 -21.000000 -2.363636
233 -47.909092 -34.454544 -38.272728 -28.090910
234 -63.181820 -76.272728 -9.909091 -2.272727
235 -29.636364 -15.090909 -2.454545 -32.545456
236 -63.727272 -29.454546 -59.727272 -85.545456
237 -9.545455 -2.000000 -17.545454 -87.909088
238 -71.363640 -37.454544 -10.272727 -44.818180
239 -2.727273 -0.545455 -91.000000 -11.545455
240 -99.818184 -12.000000 -0.090909 -47.727272
241 -46.454544 -38.363636 -75.818184 -9.545455
242 -14.636364 -71.909088 -98.000000 -30.363636
243 -73.181816 -86.636360 -62.909092 -23.090910
244 -16.090910 -8.727273 -8.545455 -11.727273
245 -10.727273 -12.272727 -99.636360 -68.181816
246 -49.727272 -9.909091 -13.000000 -38.636364
247 -96.545456 -4.000000 -50.181820 -96.363640
248 -16.000000 -50.272728 -44.090908 -48.636364
249 -74.818184 -6.090909 -44.363636 -89.363640
250 -64.181816 -42.272728 -5.909091 -23.454546
251 -28.909090 -55.000000 -46.545456 -31.090910
252 -63.727272 -55.090908 -42.818180 -60.545456
253 -67.272728 -28.636364 -28.727272 -3.181818
254 -24.727272 -27.909090 -41.727272 -21.272728
255 -18.090910 -78.090912 -17.636364 -20.272728
256 -14.454545 -47.909092 -68.909088 -89.272728
257 -40.181820 -13.181818 -64.818184 -90.454544
258 -41.636364 -70.727272 -13.909091 -56.727272
259 -25.636364 -60.454544 -87.818184 -75.545456
260 -1.636364 -16.818182 -22.272728 -68.909088
261 -31.636364 -37.181820 -58.272728 -56.272728
262 -51.272728 -100.000000 -77.545456 -69.363640
263 -64.181816 -81.272728 -75.818184 -78.636360
264 -15.363636 -30.818182 -67.909088 -55.454544
265 -44.000000 -32.636364 -45.909092 -71.818184
266 -3.363636 -59.818180 -28.545454 -15.181818
267 -6.454545 -2.454545 -76.818184 -8.090909
268 -5.454545 -85.272728 -63.181820 -37.000000
269 -22.363636 -21.363636 -79.454544 -59.818180
270 -7.545455 -57.000000 -15.272727 -71.727272
271 -24.454546 -91.090912 -50.363636 -39.727272
272 -21.909090 -18.181818 -81.363640 -52.090908
273 -50.818180 -27.272728 -23.909090 -40.363636
274 -73.272728 -38.545456 -41.636364 -79.727272
275 -41.000000 -18.454546 -73.909088 -46.454544
276 -3.727273 -37.090908 -69.636360 -12.272727
277 -44.636364 -49.090908 -72.000000 -52.090908
278 -92.181816 -87.272728 -10.000000 -2.818182
279 -64.545456 -60.272728 -42.545456 -86.363640
280 -64.636360 -23.909090 -24.636364 -15.454545
281 -37.363636 -34.636364 -42.000000 -10.636364
282 -73.181816 -83.636360 -76.454544 -0.363636
283 -88.272728 -36.545456 -33.000000 -91.909088
284 -59.818180 -2.545455 -90.363640 -4.363636
285 -37.818180 -62.363636 -42.636364 -30.000000
286 -35.818180 -52.636364 -32.727272 -0.272727
287 -99.090912 -61.454544 -72.818184 -63.727272
288 -71.454544 -97.454544 -65.363640 -8.818182
289 -32.090908 -7.272727 -5.545455 -91.454544
290 -77.090912 -82.000000 -78.000000 -65.272728
291 -4.727273 -10.909091 -43.363636 -64.545456
292 -99.636360 -33.727272 -55.090908 -37.454544
293 -82.181816 -97.727272 -53.545456 -18.000000
294 -36.454544 -72.454544 -4.454545 -35.545456
295 -33.909092 -77.272728 -85.363640 -5.363636
296 -74.636360 -50.727272 -0.272727 -92.909088
297 -58.000000 -5.818182 -70.454544 -35.000000
298 -87.818184 -48.454544 -86.454544 -92.545456
299 -45.545456 -29.818182 -43.272728 -45.181820
300 -63.545456 -98.272728 -68.727272 -45.727272
301 -82.181816 -8.454545 -49.818180 -18.636364
302 -80.909088 -54.272728 -40.272728 -1.000000
303 -31.454546 -25.636364 -92.454544 -92.272728
304 -62.545456 -92.727272 -71.363640 -6.636364
305 -98.545456 -41.818180 -27.818182 -72.545456
306 -76.363640 -14.272727 -65.090912 -8.090909
307 -44.090908 -94.545456 -39.363636 -7.636364
308 -92.818184 -8.090909 -39.454544 -74.909088
309 -16.545454 -89.272728 -79.727272 -83.636360
310 -43.545456 -20.000000 -84.636360 -61.181820
311 -31.818182 -77.090912 -53.454544 -94.272728
312 -69.818184 -10.909091 -87.090912 -54.545456
313 -38.909092 -14.909091 -27.090910 -15.272727
314 -29.181818 -78.363640 -23.272728 -73.272728
315 -72.818184 -62.636364 -67.090912 -65.636360
316 -56.909092 -6.545455 -26.727272 -59.636364
317 -82.000000 -6.363636 -29.454546 -11.636364
318 -12.545455 -0.272727 -72.818184 -30.454546
319 -63.454544 -12.363636 -10.909091 -19.454546
320 -23.272728 -98.000000 -73.909088 -62.181820
321 -12.909091 -1.000000 -63.545456 -28.272728
322 -79.272728 -73.000000 -1.545455 -38.272728
323 -21.818182 -54.818180 -90.090912 -78.727272
324 -47.454544 -16.727272 -24.545454 -29.454546
325 -9.272727 -54.000000 -41.090908 -8.000000
326 -54.272728 -100.000000 -38.454544 -17.727272
327 -98.545456 -35.545456 -23.272728 -21.818182
328 -33.545456 -97.181816 -70.181816 -32.636364
329 -98.181816 -33.727272 -60.909092 -63.636364
330 -92.909088 -48.636364 -1.909091 -14.727273
331 -3.363636 -91.909088 -79.636360 -37.000000
332 -94.818184 -4.181818 -66.454544 -4.090909
333 -44.363636 -93.636360 -98.272728 -84.727272
334 -79.818184 -36.636364 -88.636360 -78.363640
335 -58.363636 -11.909091 -86.363640 -91.818184
336 -9.090909 -56.545456 -10.636364 -93.363640
337 -76.363640 -57.636364 -57.000000 -69.272728
338 -6.272727 -45.000000 -83.909088 -95.818184
339 -36.909092 -63.545456 -32.818180 -31.727272
340 -53.818180 -85.363640 -22.000000 -98.181816
341 -65.181816 -20.272728 -69.090912 -45.000000
342 -43.090908 -57.636364 -23.363636 -1.363636
343 -55.727272 -9.727273 -79.363640 -50.909092
344 -52.454544 -90.000000 -44.272728 -28.818182
345 -47.636364 -87.454544 -98.000000 -40.000000
346 -32.454544 -81.909088 -22.000000 -55.545456
347 -31.636364 -54.727272 -73.454544 -71.636360
348 -26.272728 -81.636360 -55.909092 -91.454544
349 -88.000000 -25.000000 -36.454544 -31.090910
350 -68.818184 -46.000000 -18.636364 -10.636364
351 -41.909092 -84.181816 -61.545456 -94.363640
352 -60.272728 -5.818182 -23.090910 -94.090912
353 -79.454544 -21.090910 -34.090908 -11.818182
354 -89.181816 -56.000000 -53.545456 -7.000000
355 -96.909088 -26.909090 -78.545456 -23.181818
356 -8.545455 -34.454544 -0.818182 -96.545456
357 -45.636364 -37.272728 -13.727273 -14.363636
358 -83.272728 -32.363636 -25.000000 -25.181818
359 -2.636364 -72.727272 -5.727273 -62.909092
360 -64.727272 -28.818182 -57.000000 -44.181820
361 -36.090908 -77.181816 -56.000000 -11.454545
362 -19.363636 -95.636360 -18.363636 -2.454545
363 -22.545454 -83.090912 -25.636364 -31.090910
364 -3.727273 -12.636364 -13.727273 -49.363636
365 -49.909092 -27.454546 -49.909092 -19.363636
366 -46.000000 -61.090908 -30.727272 -48.636364
367 -20.000000 -36.454544 -97.727272 -84.727272
368 -51.363636 -54.636364 -28.818182 -87.454544
369 -18.000000 -71.000000 -98.818184 -37.363636
370 -66.636360 -3.363636 -39.818180 -89.181816
371 -72.636360 -51.636364 -6.363636 -76.363640
372 -64.272728 -6.272727 -11.909091 -0.363636
373 -33.727272 -47.909092 -19.727272 -65.909088
374 -95.181816 -36.636364 -0.636364 -15.090909
375 -59.272728 -98.363640 -99.818184 -10.636364
376 -39.181820 -28.636364 -98.000000 -57.181820
377 -99.545456 -83.000000 -80.727272 -52.363636
378 -72.545456 -6.727273 -41.454544 -45.181820
379 -58.363636 -34.000000 -7.727273 -8.818182
380 -40.272728 -19.636364 -9.181818 -60.181820
381 -53.727272 -15.090909 -26.090910 -48.818180
382 -51.727272 -12.909091 -63.909092 -10.909091
383 -97.363640 -63.727272 -7.727273 -36.545456
384 -78.454544 -91.909088 -79.818184 -78.000000
385 -74.909088 -46.727272 -30.363636 -33.636364
386 -53.363636 -58.000000 -78.818184 -11.727273
387 -78.181816 -86.545456 -20.454546 -18.454546
388 -92.272728 -15.818182 -64.818184 -46.000000
389 -30.818182 -77.000000 -94.818184 -68.727272
390 -89.909088 -44.909092 -65.818184 -87.272728
391 -8.545455 -73.454544 -9.909091 -73.181816
392 -65.363640 -75.909088 -51.181820 -26.363636
393 -22.636364 -67.727272 -60.000000 -76.000000
394 -11.818182 -24.909090 -87.636360 -90.000000
395 -11.454545 -94.272728 -94.545456 -89.909088
396 -96.272728 -59.363636 -22.000000 -13.272727
397 -36.363636 -16.818182 -81.909088 -12.363636
398 -47.818180 -33.909092 -85.818184 -42.545456
399 -7.363636 -95.727272 -15.727273 -58.818180
400 -71.636360 -53.090908 -71.363640 -94.181816
401 -20.818182 -31.363636 -70.181816 -32.636364
402 -56.272728 -44.000000 -8.727273 -53.818180
403 -24.454546 -3.272727 -43.727272 -20.636364
404 -62.636364 -51.909092 -33.909092 -85.090912
405 -54.818180 -2.000000 -97.454544 -2.636364
406 -35.818180 -83.272728 -45.181820 -29.363636
407 -65.090912 -47.090908 -74.363640 -36.727272
408 -0.181818 -45.727272 -17.090910 -7.181818
409 -77.000000 -73.363640 -39.727272 -19.454546
410 -17.363636 -34.636364 -59.454544 -27.909090
411 -37.909092 -89.272728 -34.727272 -86.727272
412 -41.181820 -54.818180 -71.818184 -96.000000
413 -56.727272 -55.454544 -98.636360 -78.727272
414 -38.636364 -30.000000 -8.090909 -89.909088
415 -77.090912 -82.363640 -26.636364 -77.272728
416 -14.272727 -29.818182 -84.363640 -77.454544
417 -3.181818 -10.272727 -96.818184 -6.727273
418 -44.909092 -42.454544 -34.636364 -69.000000
419 -31.727272 -55.545456 -55.727272 -72.818184
420 -10.272727 -13.636364 -68.818184 -67.000000
421 -69.090912 -53.545456 -31.909090 -93.909088
422 -69.727272 -26.181818 -83.818184 -46.727272
423 -94.727272 -96.545456 -10.181818 -8.909091
424 -12.545455 -94.545456 -86.363640 -15.727273
425 -91.000000 -69.363640 -8.636364 -22.090910
426 -11.727273 -43.181820 -91.090912 -29.636364
427 -84.909088 -32.909092 -2.454545 -95.181816
428 -46.545456 -57.363636 -48.363636 -1.818182
429 -97.090912 -80.272728 -81.818184 -66.818184
430 -6.363636 -65.636360 -99.727272 -1.090909
431 -48.363636 -9.818182 -96.181816 -60.909092
432 -90.545456 -82.454544 -62.818180 -81.454544
433 -38.000000 -71.363640 -89.727272 -35.909092
434 -0.727273 -66.909088 -65.454544 -85.636360
435 -86.000000 -54.090908 -80.727272 -32.545456
436 -97.636360 -15.272727 -20.545454 -80.909088
437 -81.636360 -2.363636 -47.636364 -88.000000
438 -54.090908 -47.363636 -75.272728 -2.454545
439 -43.363636 -57.545456 -49.454544 -33.818180
440 -40.000000 -98.454544 -1.454545 -64.181816
441 -69.818184 -91.181816 -100.000000 -56.727272
442 -44.272728 -51.636364 -42.272728 -30.272728
443 -5.727273 -9.181818 -49.000000 -89.454544
444 -10.636364 -69.454544 -70.363640 -92.272728
445 -58.000000 -4.181818 -66.454544 -12.090909
446 -51.454544 -27.818182 -0.636364 -94.818184
447 -85.363640 -36.272728 -14.818182 -25.363636
448 -34.727272 -16.272728 -75.727272 -4.454545
449 -93.545456 -61.909092 -47.363636 -37.818180
450 -13.545455 -89.636360 -68.000000 -5.363636
451 -85.000000 -3.181818 -81.000000 -95.545456
452 -72.636360 -51.363636 -74.000000 -30.545454
453 -55.454544 -40.363636 -28.818182 -93.090912
454 -68.181816 -29.454546 -74.090912 -53.545456
455 -65.727272 -88.818184 -65.090912 -86.545456
456 -91.272728 -40.818180 -77.181816 -84.818184
457 -88.818184 -24.545454 -8.727273 -2.363636
458 -14.090909 -76.727272 -93.909088 -85.272728
459 -79.909088 -74.909088 -67.000000 -38.636364
460 -12.363636 -40.909092 -55.363636 -54.000000
461 -81.272728 -70.363640 -47.090908 -35.636364
462 -99.727272 -7.363636 -89.181816 -51.636364
463 -82.363640 -54.272728 -38.181820 -73.545456
464 -81.272728 -15.363636 -58.363636 -70.090912
465 -26.000000 -53.272728 -58.545456 -26.272728
466 -30.000000 -52.454544 -11.545455 -96.000000
467 -13.454545 -78.454544 -20.818182 -25.818182
468 -5.545455 -62.363636 -79.818184 -73.000000
469 -32.727272 -13.090909 -8.636364 -18.636364
470 -20.454546 -97.818184 -70.181816 -2.727273
471 -38.272728 -94.545456 -76.272728 -19.545454
472 -96.000000 -20.818182 -75.727272 -22.000000
473 -74.000000 -34.272728 -48.272728 -90.181816
474 -72.909088 -46.000000 -72.363640 -86.363640
475 -10.636364 -79.363640 -98.363640 -16.181818
476 -41.727272 -64.363640 -89.181816 -74.363640
477 -77.454544 -84.000000 -93.000000 -97.818184
478 -81.818184 -49.363636 -86.727272 -20.090910
479 -30.000000 -49.181820 -25.727272 -12.181818
480 -56.181820 -87.636360 -34.181820 -30.181818
481 -21.909090 -68.636360 -6.454545 -81.000000
482 -14.636364 -65.000000 -53.454544 -11.363636
483 -30.454546 -51.818180 -27.545454 -72.181816
484 -16.090910 -2.818182 -32.727272 -79.727272
485 -86.818184 -11.818182 -63.727272 -54.727272
486 -47.363636 -50.454544 -61.000000 -77.363640
487 -99.636360 -72.909088 -89.545456 -55.727272
488 -60.545456 -9.909091 -72.090912 -68.636360
489 -64.727272 -64.727272 -49.545456 -65.454544
490 -15.818182 -3.000000 -76.818184 -46.272728
491 -41.000000 -90.545456 -18.454546 -43.272728
492 -79.545456 -37.272728 -9.090909 -66.272728
493 -49.090908 -72.818184 -7.181818 -96.454544
494 -9.363636 -68.181816 -59.909092 -9.000000
495 -27.181818 -35.636364 -50.909092 -87.727272
496 -31.636364 -9.090909 -56.272728 -96.363640
497 -60.000000 -92.000000 -61.818180 -75.818184
498 -95.000000 -24.818182 -8.272727 -22.181818
499 -15.272727 -12.818182 -51.545456 -81.000000
500 -50.090908 -60.636364 -33.454544 -85.363640
501 -33.454544 -40.636364 -68.000000 -42.818180
502 -94.909088 -27.909090 -37.909092 -22.090910
503 -49.636364 -75.000000 -9.818182 -81.272728
504 -70.272728 -52.272728 -77.636360 -30.181818
505 -44.272728 -25.545454 -92.181816 -25.454546
506 -36.545456 -0.363636 -33.727272 -38.000000
507 -13.181818 -85.272728 -18.909090 -49.454544
508 -45.909092 -52.363636 -34.818180 -65.545456
509 -92.909088 -2.818182 -8.272727 -74.000000
510 -16.818182 -32.363636 -96.090912 -66.454544
511 -7.363636 -92.090912 -47.727272 -77.545456
512 -44.272728 -11.545455 -93.909088 -74.727272
513 -23.272728 -72.272728 -0.090909 -59.727272
514 -58.818180 -33.818180 -97.727272 -58.181820
515 -5.272727 -16.636364 -7.636364 -51.181820
516 -55.090908 -28.636364 -16.727272 -48.000000
517 -31.363636 -11.181818 -8.181818 -34.363636
518 -43.545456 -4.272727 -87.000000 -50.818180
519 -82.545456 -20.909090 -14.545455 -13.000000
520 -32.454544 -94.636360 -87.636360 -41.818180
521 -53.090908 -73.909088 -87.727272 -11.818182
522 -93.909088 -85.454544 -70.000000 -99.181816
523 -88.181816 -77.545456 -36.545456 -43.272728
524 -92.363640 -39.454544 -77.454544 -9.909091
525 -50.545456 -71.818184 -44.272728 -80.272728
526 -62.272728 -31.272728 -31.090910 -44.818180
527 -52.181820 -31.818182 -43.909092 -70.727272
528 -12.636364 -17.727272 -98.727272 -65.636360
529 -91.636360 -86.454544 -77.454544 -71.727272
530 -58.090908 -33.636364 -57.090908 -46.272728
531 -97.363640 -79.818184 -75.727272 -89.636360
532 -19.272728 -39.363636 -99.545456 -56.000000
533 -11.181818 -29.909090 -36.181820 -59.636364
534 -61.181820 -53.454544 -4.363636 -99.454544
535 -85.181816 -48.272728 -56.363636 -84.000000
536 -66.000000 -55.090908 -49.636364 -43.818180
